time,categoryId,title,viewCount,url,channelTitle
2019-04-15T16:49:45.253138,17,Tiger Woods wins The 2019 Masters | SportsCenter,1803902,l8UL23m1qQY,ESPN
2019-04-15T16:49:45.253138,22,Game of Thrones | Season 8 Episode 2 | Preview (HBO),3983127,R6YCfVe4eR0,GameofThrones
2019-04-15T16:49:45.253138,20,Star Wars Jedi: Fallen Order — Official Reveal Trailer,6717130,0GLbwkfhYZk,EA Star Wars
2019-04-15T16:49:45.253138,24,BTS: Boy with Luv (Live) - SNL,5333184,O4NB73HTlxI,Saturday Night Live
2019-04-15T16:49:45.253138,24,Blueface Goes Sneaker Shopping With Complex,671250,yw4DbIWmugw,Complex
2019-04-15T16:49:45.253138,27,Game of Thrones recap for Season 8 – everything you need to know,664168,jMbao3xdiRY,Alt Shift X
2019-04-15T16:49:45.253138,24,Will It Muffin? Taste Test,718564,9_HJFOxde0s,Good Mythical Morning
2019-04-15T16:49:45.253138,20,[NEW SEASONAL MISSION] Storm Rising | Overwatch,309586,-SL8ypfeGPA,PlayOverwatch
2019-04-15T16:49:45.253138,25,The real reason Boeing's new plane crashed twice,1082264,H2tuKiiznsY,Vox
2019-04-15T16:49:45.253138,17,Liverpool v. Chelsea | PREMIER LEAGUE EXTENDED HIGHLIGHTS | 4/14/19 | NBC Sports,358631,kAQoYUg39oQ,NBC Sports
2019-04-15T16:49:45.253138,24,Star Wars: The Rise of Skywalker – Teaser,22615386,adzYW5DZoWs,Star Wars
2019-04-15T16:49:45.253138,17,Tiger Woods Winning Interview,614318,-Qj_zt8UOv0,The Masters
2019-04-15T16:49:45.253138,24,Comedian Kojo gets Simon's GOLDEN BUZZER | Auditions | BGT 2019,6523887,b7eror7JG2Y,Britain's Got Talent
2019-04-15T16:49:45.253138,27,The Most Dangerous Stuff in the Universe - Strange Stars Explained,3080928,p_8yK2kmxoo,Kurzgesagt – In a Nutshell
2019-04-15T16:49:45.253138,27,How Humans Broke the Game,1001529,BJzJtm7OfdQ,TierZoo
2019-04-15T16:49:45.253138,24,Gordon Ramsay Enters A Cooking Challenge | Gordon's Great Escape,1246362,qOkZiVlQHMs,Gordon Ramsay
